row,col,weight
0,3,14.3708
0,4,13.9386
0,7,16.5351
0,8,11.5431
0,9,19.5717
0,11,18.3044
0,13,6.9257
0,15,22.6238
0,16,2.3436
0,17,7.0626
0,18,27.9166
0,19,28.6123
0,20,22.7563
0,21,3.0493
0,23,14.4345
0,24,23.5378
0,25,2.1243
0,26,6.6162
0,29,27.6884
0,31,1.7474
0,32,22.6567
0,33,13.8065
0,34,12.1291
0,36,29.1755
0,37,29.044
0,38,20.205
0,40,26.8011
0,41,13.0855
0,44,16.2998
0,45,24.269
0,47,4.626
0,48,18.9338
0,49,2.4601
0,50,19.6291
0,51,25.0338
0,52,27.6737
0,53,6.5236
0,55,26.2012
0,56,25.7307
0,57,10.838
0,58,20.1072
0,59,27.7239
0,62,20.5229
0,65,22.0618
0,66,6.1126
0,67,1.2186
0,69,8.1265
0,70,20.8881
0,73,20.8254
0,75,24.3024
0,76,18.8922
0,79,15.8665
0,80,25.2127
0,81,3.2687
0,83,24.9133
0,84,10.5909
0,85,12.3664
0,86,7.4918
0,88,20.9965
0,89,6.6871
0,90,1.7387
0,94,4.0409
0,95,19.2292
0,96,2.0669
0,97,2.1757
0,98,8.7937
0,99,4.4826
0,102,27.1294
0,103,5.4204
0,105,25.4548
0,106,2.8346
0,109,4.8683
0,110,18.3938
0,114,3.2946
0,115,13.7553
0,116,4.3405
0,118,17.4758
0,120,16.0543
0,121,3.2977
0,122,22.1575
0,123,25.7428
0,125,9.4583
0,126,13.3214
0,128,7.7319
0,129,28.9779
0,131,24.5682
0,132,22.9667
0,133,12.7828
0,134,4.7566
0,136,24.8525
0,137,26.6705
0,138,12.1415
1,3,4.3134
1,4,19.178
1,5,23.7767
1,7,1.8489
1,9,18.4758
1,12,17.7904
1,13,14.3835
1,14,8.4406
1,15,7.9783
1,16,2.7455
1,17,29.5668
1,18,23.3769
1,19,7.2034
1,20,23.3863
1,22,20.4337
1,23,12.7052
1,24,5.029
1,25,21.3065
1,29,1.1313
1,30,11.4128
1,31,14.7736
1,33,26.8955
1,39,4.3886
1,40,22.5382
1,41,14.8158
1,42,23.5837
1,43,22.2422
1,45,11.427
1,46,19.3378
1,47,2.1834
1,48,22.942
1,49,25.5617
1,51,11.8461
1,52,6.7098
1,54,2.0845
1,55,10.2906
1,57,14.7298
1,58,7.6247
1,59,28.8697
1,60,18.1489
1,61,27.0238
1,63,14.2721
1,64,5.5392
1,65,5.6517
1,67,25.4813
1,68,28.3558
1,71,22.7968
1,72,19.0863
1,73,8.9847
1,74,19.7467
1,75,24.9167
1,76,6.1557
1,77,21.1006
1,78,2.3974
1,81,12.1969
1,83,22.7209
1,84,25.0625
1,85,3.3837
1,86,7.9721
1,87,7.156
1,88,18.7893
1,89,10.6833
1,90,2.9876
1,91,26.6557
1,93,7.0242
1,94,3.0541
1,95,28.9348
1,96,3.8649
1,97,13.2797
1,99,13.1842
1,100,12.76
1,101,5.6039
1,104,13.3074
1,105,8.4629
1,106,16.2579
1,107,4.5251
1,108,13.6965
1,109,3.4778
1,110,3.3561
1,111,28.2063
1,112,16.3319
1,113,14.5378
1,116,7.787
1,117,25.1357
1,118,4.1095
1,119,27.9285
1,120,9.5347
1,121,29.0882
1,122,8.8269
1,123,15.8839
1,124,29.3841
1,125,29.1019
1,127,27.3024
1,128,13.7148
1,129,23.4728
1,130,13.1276
1,132,25.83
1,133,21.1146
1,135,2.9626
1,136,19.496
1,137,3.5123
1,138,3.0334
1,139,3.753
2,7,13.4577
2,9,7.3549
2,12,2.6903
2,21,6.7004
2,22,2.6976
2,24,23.3205
2,26,19.7219
2,29,1.6336
2,44,16.8822
2,47,26.8718
2,53,8.6958
2,57,6.2284
2,63,29.8442
2,71,2.8994
2,75,4.8268
2,81,18.8561
2,94,8.2391
2,112,8.7802
2,115,20.0932
2,118,5.3016
2,121,19.6607
2,124,3.7107
2,125,17.065
2,136,28.3306
2,137,14.2815
3,5,26.9298
3,7,27.8258
3,8,16.1576
3,9,11.2105
3,10,12.2051
3,35,13.4651
3,48,15.0882
3,49,8.3946
3,53,26.0426
3,58,15.3037
3,67,7.8711
3,74,17.2906
3,83,25.0113
3,84,17.4111
3,86,2.3478
3,91,3.2166
3,92,25.6006
3,98,25.1938
3,101,10.232
3,102,22.9895
3,110,9.4548
3,111,17.6387
3,119,21.2971
3,128,25.9799
4,6,12.6786
4,10,17.1998
4,11,16.8018
4,12,17.1241
4,13,21.0489
4,14,20.5834
4,15,22.7794
4,16,6.896
4,19,25.0404
4,20,15.7895
4,21,10.2716
4,24,8.9246
4,25,19.8921
4,26,13.9739
4,27,29.1848
4,28,24.8691
4,31,18.8447
4,34,19.3778
4,35,15.5378
4,36,1.0031
4,38,24.119
4,40,16.2457
4,46,16.773
4,47,3.5686
4,48,8.752
4,49,22.1691
4,50,17.7018
4,51,26.3307
4,53,28.31
4,56,15.4688
4,60,9.6544
4,65,19.8062
4,69,11.785
4,70,27.4106
4,72,27.1343
4,75,29.6745
4,76,6.2884
4,79,8.6896
4,81,6.9164
4,82,12.2142
4,84,6.1448
4,86,14.3622
4,87,23.9647
4,88,21.0029
4,90,26.8285
4,91,26.4636
4,92,26.0225
4,94,10.2643
4,98,8.3113
4,100,28.7206
4,102,25.4908
4,108,12.6271
4,109,7.3551
4,110,25.2153
4,112,5.9069
4,113,25.4952
4,114,13.6654
4,115,24.8856
4,116,10.1031
4,120,26.9466
4,123,26.2234
4,124,24.6218
4,126,13.782
4,127,4.3473
4,128,16.6358
4,130,13.2544
4,132,17.47
4,136,23.302
4,138,5.4812
5,7,19.4499
5,8,18.4953
5,9,23.6042
5,11,5.2499
5,12,18.9179
5,13,3.3406
5,14,25.1672
5,15,24.6043
5,16,15.6302
5,17,20.9603
5,19,5.2117
5,20,22.7073
5,22,8.718
5,24,1.3323
5,26,16.8678
5,28,22.8158
5,30,21.7066
5,32,8.4084
5,33,23.5672
5,34,6.2003
5,35,14.5218
5,36,4.0832
5,37,28.89
5,39,29.4501
5,40,8.7633
5,41,14.0868
5,42,22.4067
5,44,29.6274
5,45,2.8454
5,46,19.8198
5,47,13.0423
5,49,7.8547
5,54,25.73
5,55,3.9893
5,56,8.3214
5,57,12.578
5,59,12.1986
5,61,5.3993
5,62,25.2267
5,64,5.0274
5,67,6.7769
5,68,28.03
5,69,14.6064
5,70,9.2817
5,71,7.7309
5,72,19.2627
5,73,28.7086
5,74,13.6744
5,80,29.7574
5,81,7.2264
5,83,15.2246
5,85,8.5147
5,88,13.9815
5,93,16.0359
5,94,22.0778
5,95,5.359
5,97,19.0419
5,98,25.4816
5,99,3.0668
5,100,12.7113
5,103,12.5254
5,104,21.9676
5,105,29.0458
5,106,23.5482
5,108,16.1266
5,109,25.2813
5,110,3.7919
5,111,9.1601
5,114,22.8501
5,115,10.8996
5,116,29.6436
5,117,22.5998
5,119,14.9127
5,121,23.5458
5,122,25.995
5,124,29.5594
5,125,11.3474
5,126,8.8692
5,127,14.6125
5,128,7.247
5,130,3.8557
5,131,16.0011
5,132,15.2847
5,135,13.2416
5,139,8.9367
6,11,3.2606
6,14,11.2129
6,15,7.7599
6,17,5.3017
6,18,13.2474
6,20,17.2645
6,23,21.6199
6,26,6.7337
6,29,18.2871
6,31,8.2116
6,32,29.7259
6,34,26.2572
6,35,3.6182
6,38,22.5208
6,39,9.4019
6,44,18.0806
6,47,27.6783
6,49,25.044
6,51,4.1186
6,55,15.6796
6,58,27.6771
6,59,3.7895
6,63,13.3018
6,64,24.3994
6,69,24.6363
6,70,8.6278
6,71,27.7417
6,76,9.1775
6,77,15.7751
6,78,6.6761
6,79,13.141
6,80,2.5296
6,82,25.1298
6,83,3.6287
6,85,23.9955
6,87,22.3895
6,90,5.6499
6,91,8.798
6,96,20.9972
6,97,5.2871
6,101,3.6627
6,103,6.0322
6,104,16.0488
6,106,11.3188
6,108,3.462
6,109,8.935
6,113,6.0683
6,115,12.4167
6,116,24.9155
6,117,26.3408
6,119,20.0068
6,122,14.5154
6,127,20.2929
6,136,21.0571
6,137,7.473
6,138,6.7992
7,86,9.5078
8,9,25.9114
8,13,6.0829
8,14,27.1708
8,15,6.9108
8,16,1.7981
8,17,17.8396
8,18,11.2888
8,19,28.6095
8,20,28.4569
8,22,18.3445
8,23,26.5066
8,25,15.5313
8,27,20.7562
8,28,3.9106
8,29,25.4105
8,32,15.8694
8,33,9.5772
8,34,15.4346
8,35,8.8652
8,36,24.832
8,38,2.6946
8,39,28.6006
8,40,22.709
8,41,9.3212
8,42,8.0611
8,43,26.0998
8,44,14.7173
8,47,4.2931
8,49,22.4859
8,50,26.1282
8,51,25.6615
8,52,15.4476
8,53,18.8416
8,54,29.8622
8,57,7.4691
8,59,5.9339
8,60,18.0992
8,61,27.5559
8,63,17.626
8,66,10.5201
8,67,29.8579
8,68,5.6858
8,69,24.3596
8,70,21.6244
8,72,5.8437
8,73,13.7496
8,74,21.938
8,75,12.8297
8,76,21.0996
8,77,9.8178
8,78,28.3381
8,81,11.4524
8,82,18.864
8,83,7.2007
8,84,21.8419
8,85,28.3882
8,86,21.9237
8,87,26.4037
8,89,21.105
8,90,2.291
8,91,13.9461
8,92,18.4963
8,93,14.2681
8,94,26.7586
8,95,26.116
8,96,8.7441
8,97,22.5373
8,98,27.2957
8,99,3.7021
8,100,12.0933
8,101,19.8375
8,102,21.389
8,103,19.5295
8,105,5.7281
8,106,11.4173
8,107,27.2042
8,109,21.3501
8,110,4.4341
8,111,24.8389
8,112,9.6405
8,113,12.5535
8,115,8.8057
8,116,22.4816
8,117,12.1932
8,119,16.2444
8,120,3.5571
8,121,2.0593
8,122,28.9068
8,123,17.4261
8,124,23.8518
8,125,19.9954
8,129,6.0048
8,130,26.0638
8,131,23.8979
8,132,29.2394
8,133,25.3272
8,134,14.5661
8,135,21.4717
8,136,2.8171
8,137,16.9063
8,138,15.1755
8,139,15.4247
9,17,3.9749
9,19,22.0913
9,22,28.7032
9,23,14.3871
9,25,12.8553
9,29,13.8463
9,35,25.1864
9,37,4.764
9,41,6.3767
9,44,1.8536
9,46,24.8856
9,47,26.1929
9,48,23.7
9,49,5.219
9,52,2.9379
9,53,27.4298
9,54,8.1477
9,60,11.5373
9,63,4.946
9,76,10.5871
9,79,4.6044
9,80,7.04
9,81,26.8403
9,87,5.4316
9,89,14.8361
9,93,5.6812
9,98,26.1298
9,103,20.2753
9,108,14.2468
9,115,16.0158
9,116,4.2385
9,119,25.7428
9,121,19.0901
9,122,25.3337
9,125,26.1111
9,132,21.4492
9,136,8.2938
9,138,4.9257
10,11,8.3621
10,16,3.2789
10,19,20.5168
10,20,20.3532
10,21,3.4071
10,22,24.4995
10,23,19.6949
10,24,9.1496
10,25,6.6367
10,26,7.682
10,27,26.6351
10,29,27.6863
10,30,4.849
10,31,13.0
10,32,15.8606
10,33,12.5708
10,36,28.6193
10,38,1.3313
10,42,10.4042
10,44,9.2054
10,45,21.5058
10,46,27.1341
10,48,11.7537
10,49,20.8436
10,50,14.9157
10,51,3.4498
10,53,7.4133
10,54,27.0599
10,57,14.9608
10,58,21.3811
10,60,2.4226
10,62,14.7328
10,64,20.7958
10,66,7.224
10,67,18.478
10,69,20.3884
10,72,4.6107
10,73,7.9857
10,75,8.5242
10,76,18.9268
10,79,11.7232
10,80,18.1398
10,81,21.7136
10,82,10.5529
10,84,25.2249
10,85,14.4727
10,88,24.7115
10,92,10.6066
10,94,4.7449
10,95,1.0218
10,97,17.9873
10,99,10.8125
10,101,11.9766
10,102,6.3303
10,104,23.3098
10,107,25.7903
10,109,16.2464
10,111,27.0724
10,112,21.8088
10,113,18.5114
10,115,7.4283
10,118,2.6548
10,119,9.3476
10,120,15.6915
10,125,17.782
10,126,2.3458
10,130,27.8465
10,132,23.1029
10,133,16.0048
10,134,2.3844
10,138,13.1764
10,139,4.0475
11,15,11.0275
11,20,22.45
11,23,24.2714
11,25,2.4345
11,29,7.3723
11,32,4.9956
11,33,20.58
11,34,9.4894
11,41,19.2846
11,42,9.5489
11,45,5.5027
11,49,21.4545
11,50,12.9591
11,51,24.3205
11,58,20.3649
11,59,20.7622
11,65,9.1997
11,77,5.5921
11,87,10.1737
11,92,27.2547
11,98,22.5509
11,100,3.8776
11,105,17.8555
11,106,10.4209
11,111,3.1495
11,127,9.0433
11,132,11.6183
11,133,23.7931
11,135,10.2126
11,136,7.6813
12,13,22.4594
12,18,6.0491
12,23,28.8547
12,33,5.2181
12,36,16.8922
12,39,17.8572
12,40,13.8518
12,44,25.4123
12,46,1.5834
12,50,19.9121
12,52,12.7744
12,55,12.5259
12,65,4.2677
12,67,26.2328
12,68,13.0746
12,72,13.8194
12,79,15.6217
12,82,22.2836
12,85,8.6755
12,86,29.8528
12,90,27.2733
12,96,11.8211
12,100,23.4448
12,127,18.9472
12,129,18.2364
12,133,12.5195
12,137,13.4238
13,15,20.0546
13,16,2.6485
13,18,5.2884
13,20,12.1203
13,21,26.3082
13,22,7.6854
13,23,11.1292
13,24,8.3756
13,26,13.6458
13,27,19.3697
13,28,15.2794
13,29,7.9419
13,30,17.4487
13,32,27.5875
13,33,28.8373
13,34,21.9193
13,35,8.778
13,36,4.0998
13,37,26.3421
13,38,22.6517
13,39,7.4931
13,40,8.1877
13,41,6.3706
13,42,18.6521
13,43,5.3022
13,45,16.9908
13,46,13.353
13,48,28.6281
13,49,4.7549
13,50,29.9501
13,53,17.7813
13,54,19.7485
13,55,5.8018
13,56,11.5825
13,57,26.5005
13,58,27.7685
13,59,28.8867
13,60,4.6709
13,61,16.632
13,62,7.2705
13,63,19.1814
13,64,25.3731
13,65,4.4157
13,66,9.43
13,67,15.6511
13,68,21.8059
13,69,29.3497
13,70,8.5403
13,71,10.3963
13,72,4.8442
13,73,17.6816
13,74,1.0898
13,75,2.8906
13,76,13.4742
13,77,19.9173
13,80,29.5024
13,81,11.7071
13,82,19.9908
13,83,27.3981
13,84,10.4183
13,85,7.2352
13,86,10.7956
13,87,15.4199
13,89,3.0572
13,90,10.3331
13,91,16.2184
13,92,5.4947
13,93,20.0407
13,94,25.8352
13,95,1.9357
13,96,8.6405
13,97,28.6477
13,98,11.8233
13,99,12.5553
13,100,2.2746
13,101,16.898
13,102,5.706
13,104,1.065
13,105,28.2951
13,106,1.1949
13,107,28.6174
13,108,15.3907
13,110,8.0661
13,111,1.283
13,112,16.3795
13,113,22.8666
13,114,18.5789
13,117,23.3473
13,119,8.1862
13,120,26.3039
13,121,22.5662
13,123,6.0421
13,124,4.0242
13,125,18.7097
13,126,28.3085
13,129,29.1337
13,131,29.3999
13,132,13.7521
13,134,15.1086
13,135,12.7008
13,137,5.1828
13,139,1.1757
14,15,6.9345
14,16,9.4686
14,18,27.9973
14,19,26.6661
14,20,20.7556
14,21,21.0601
14,22,1.3248
14,23,10.2833
14,24,8.0363
14,26,18.3244
14,28,5.0972
14,29,5.2037
14,30,7.3824
14,31,12.6666
14,32,22.6016
14,33,22.6997
14,34,26.2273
14,35,26.6389
14,36,20.2483
14,37,7.8241
14,40,24.6265
14,41,14.7152
14,43,9.9608
14,44,26.5772
14,45,29.506
14,46,22.3826
14,47,28.3167
14,48,20.9009
14,49,3.5364
14,50,4.2353
14,51,17.6015
14,52,9.6037
14,53,28.5555
14,54,24.0026
14,55,19.3598
14,56,8.9186
14,57,15.6078
14,61,13.8046
14,62,18.2096
14,64,1.4398
14,65,25.7336
14,67,1.3507
14,68,5.9977
14,69,15.7294
14,70,10.8511
14,71,25.0374
14,72,26.2761
14,73,3.3451
14,74,17.0281
14,76,9.4918
14,80,25.5014
14,83,1.2384
14,84,26.5822
14,85,20.5133
14,86,19.3156
14,88,6.7749
14,89,11.7962
14,91,24.2527
14,93,28.555
14,94,22.3609
14,96,2.4157
14,97,22.7151
14,98,16.4205
14,101,16.3604
14,102,24.2223
14,103,20.1157
14,105,15.1495
14,106,22.7461
14,107,25.1299
14,109,2.976
14,110,9.4235
14,111,12.4839
14,112,14.7714
14,114,6.6795
14,115,15.4925
14,117,3.2152
14,118,22.2588
14,120,13.9489
14,122,20.8498
14,124,24.1199
14,125,27.6296
14,126,9.5426
14,127,12.1583
14,128,17.643
14,129,6.4931
14,132,1.7393
14,134,4.0381
14,135,26.6389
14,137,4.3558
14,139,22.825
15,16,19.4363
15,17,11.0454
15,18,5.4625
15,19,4.0152
15,20,22.4992
15,23,15.2981
15,24,13.4971
15,25,18.1434
15,26,21.4608
15,30,16.1289
15,33,23.4163
15,35,17.5686
15,36,28.129
15,37,18.189
15,38,19.128
15,39,15.8463
15,40,14.5842
15,41,14.1173
15,43,9.258
15,44,19.1555
15,46,2.8609
15,47,28.6309
15,52,8.6431
15,53,6.5387
15,54,16.4896
15,55,26.6852
15,57,14.1591
15,58,15.2159
15,59,5.0064
15,60,23.7342
15,61,19.5672
15,62,27.4045
15,63,18.1058
15,64,28.8141
15,65,23.4038
15,67,21.3537
15,68,6.7805
15,70,11.7836
15,72,6.5497
15,73,8.6324
15,74,7.174
15,75,25.6792
15,76,24.3863
15,77,16.9791
15,78,20.989
15,80,3.9002
15,81,24.0741
15,83,7.8174
15,85,12.7894
15,86,12.3848
15,87,3.1841
15,91,23.4041
15,92,26.9933
15,93,16.9559
15,94,8.9829
15,95,21.747
15,96,22.1195
15,98,17.3385
15,99,8.747
15,100,9.584
15,103,11.7701
15,104,11.9388
15,108,8.6884
15,109,23.3433
15,110,8.6577
15,115,22.8634
15,117,23.6392
15,118,27.6389
15,120,3.3883
15,121,13.3224
15,122,25.4653
15,123,28.7472
15,124,4.9889
15,125,16.7512
15,126,20.8882
15,127,6.0922
15,128,17.1206
15,129,29.3022
15,130,26.0545
15,131,1.3515
15,133,11.8735
15,134,3.8551
15,135,11.4181
15,136,25.4629
16,18,12.9319
16,21,5.7135
16,27,19.7404
16,32,10.0784
16,36,25.5935
16,37,19.9538
16,38,24.449
16,40,20.5285
16,46,28.3351
16,47,2.4388
16,49,24.6656
16,56,6.7153
16,57,16.7204
16,63,22.2943
16,66,20.7747
16,68,10.4782
16,69,3.9239
16,72,13.0979
16,74,22.4902
16,75,20.3514
16,76,6.3341
16,79,5.8862
16,82,2.7539
16,83,1.4026
16,84,26.6996
16,85,1.0704
16,88,3.2309
16,90,9.8102
16,92,4.5153
16,96,15.4117
16,97,7.7199
16,98,19.3521
16,101,9.6662
16,103,23.7903
16,105,23.1127
16,106,22.8669
16,110,13.6946
16,113,7.8579
16,114,29.4953
16,115,26.2269
16,117,18.5437
16,118,20.7825
16,119,18.7388
16,120,11.9959
16,127,25.9409
16,130,16.594
16,131,16.4521
16,134,16.9013
16,135,9.0089
17,18,24.7283
17,20,6.3788
17,21,26.7894
17,24,23.99
17,25,21.6355
17,27,1.7584
17,37,8.1218
17,46,14.2851
17,52,13.9284
17,58,13.6707
17,61,24.5581
17,75,12.0673
17,76,1.1979
17,85,10.4687
17,94,28.4354
17,96,18.8785
17,101,12.9595
17,102,18.6497
17,115,10.9198
17,119,21.3406
17,128,18.3159
17,132,26.7022
17,133,26.8789
17,136,28.7129
17,138,23.6951
18,20,25.472
18,21,9.278
18,24,14.3264
18,26,5.4231
18,32,6.9471
18,40,15.3786
18,48,16.8395
18,52,2.992
18,56,14.4967
18,62,24.7712
18,63,14.2646
18,73,26.1961
18,82,17.6025
18,87,11.6464
18,90,23.0927
18,91,19.117
18,97,29.7917
18,98,5.7966
18,99,14.5911
18,100,11.3092
18,106,27.6181
18,109,25.6203
18,119,22.6513
18,129,23.4443
18,130,7.4903
20,21,26.8817
20,23,26.4239
20,25,25.5435
20,27,5.7247
20,34,23.8035
20,36,22.8167
20,40,15.6918
20,41,28.6287
20,45,14.7384
20,59,20.1145
20,67,29.4977
20,76,7.091
20,81,26.3743
20,82,6.8538
20,89,22.5116
20,101,5.8305
20,117,29.026
20,132,27.4468
20,138,18.9461
21,46,3.6727
21,87,23.0945
21,124,22.7307
21,139,23.5111
22,23,27.8011
22,24,10.1076
22,25,14.2073
22,27,29.6582
22,28,4.0575
22,29,11.8792
22,31,3.079
22,32,16.5484
22,34,25.9351
22,35,11.964
22,36,9.9928
22,37,14.3091
22,38,24.1999
22,39,9.9145
22,41,2.4169
22,43,20.9389
22,44,3.5754
22,45,18.4417
22,48,27.3438
22,49,2.4005
22,51,2.162
22,52,16.3143
22,55,26.6424
22,56,9.065
22,57,16.0776
22,61,28.1968
22,62,23.9618
22,64,25.0041
22,66,13.5691
22,67,25.9696
22,68,9.0172
22,69,21.9926
22,70,23.8817
22,71,10.6527
22,73,11.1606
22,74,8.0255
22,76,29.1137
22,77,17.1358
22,80,22.3964
22,81,26.4562
22,82,14.0744
22,83,25.8162
22,85,16.1137
22,86,27.5467
22,88,22.541
22,90,2.033
22,91,25.1258
22,93,8.2792
22,94,13.8559
22,95,17.8685
22,96,15.5529
22,98,22.6239
22,99,9.0216
22,100,16.9598
22,101,6.4237
22,102,24.2165
22,103,16.1731
22,104,10.5705
22,105,16.1516
22,106,2.7697
22,107,29.1349
22,108,7.5871
22,111,23.134
22,112,8.887
22,114,24.736
22,115,18.9916
22,116,10.0667
22,117,18.5215
22,118,21.1855
22,119,27.1109
22,120,21.8646
22,121,18.0556
22,123,22.6979
22,124,21.4366
22,125,12.519
22,126,1.6198
22,129,14.4843
22,130,3.1979
22,132,28.3193
22,133,13.1187
22,134,16.0619
22,135,4.9144
22,136,13.7057
22,137,27.6468
23,24,4.4243
23,25,19.2909
23,26,20.9783
23,27,25.5638
23,28,27.9096
23,29,29.0282
23,30,20.0715
23,31,14.6257
23,32,4.217
23,33,20.7013
23,34,24.0991
23,36,18.3588
23,37,2.8676
23,38,10.4925
23,39,17.3975
23,40,18.1517
23,43,17.3799
23,44,22.3324
23,45,19.33
23,46,24.0602
23,47,26.0477
23,49,10.9075
23,51,4.3273
23,56,16.0347
23,57,12.8715
23,58,12.251
23,61,6.6492
23,63,12.5681
23,64,16.9614
23,66,11.5368
23,68,18.5217
23,70,20.6089
23,72,7.1133
23,73,5.229
23,74,7.7441
23,75,6.5012
23,77,11.1561
23,79,29.064
23,81,22.3627
23,82,18.1944
23,86,2.2941
23,87,12.12
23,91,21.9351
23,94,9.6327
23,95,1.1563
23,97,17.8117
23,98,28.3237
23,99,5.7418
23,100,28.791
23,101,9.0289
23,102,25.3273
23,103,18.61
23,104,26.4425
23,105,23.9513
23,107,24.4477
23,109,22.9541
23,110,8.4842
23,112,7.9039
23,113,5.0011
23,115,10.6179
23,116,7.4629
23,118,25.181
23,119,24.9045
23,120,23.9294
23,121,23.9187
23,122,7.7788
23,123,22.4567
23,124,24.5518
23,125,11.7817
23,126,14.2605
23,127,23.6908
23,130,12.9695
23,131,13.225
23,133,7.4074
23,135,13.3619
23,136,24.8086
23,138,20.0005
23,139,13.1466
24,25,1.6065
24,27,19.0683
24,30,21.5131
24,31,21.9848
24,32,5.4978
24,33,21.7403
24,34,25.2732
24,35,21.6782
24,36,13.6661
24,37,1.536
24,38,13.4708
24,39,19.4329
24,41,13.8227
24,42,25.608
24,45,24.5959
24,46,29.2605
24,47,6.5311
24,48,16.3331
24,50,29.7855
24,51,24.8024
24,52,7.8997
24,53,13.5762
24,54,2.4696
24,55,28.6433
24,56,5.5767
24,57,10.924
24,58,9.8948
24,59,5.8085
24,60,11.1766
24,62,8.7664
24,63,17.8528
24,65,6.4164
24,67,27.5984
24,69,7.5977
24,70,22.8529
24,73,4.4458
24,74,6.7376
24,75,16.9521
24,76,18.1717
24,77,7.8115
24,78,13.3398
24,79,23.8313
24,80,4.0532
24,81,15.7398
24,82,25.5108
24,83,14.6148
24,84,23.3941
24,85,22.2093
24,86,12.1265
24,88,27.0427
24,90,26.2378
24,91,5.0319
24,93,15.3466
24,94,21.827
24,96,1.9703
24,97,1.7223
24,101,14.072
24,102,16.8158
24,103,15.8681
24,107,19.7587
24,108,7.775
24,109,2.7744
24,110,20.5757
24,111,26.6847
24,112,11.1657
24,113,12.7576
24,114,19.7891
24,116,5.1647
24,117,23.8046
24,118,13.9907
24,119,28.6431
24,121,18.7492
24,122,25.2525
24,123,18.0131
24,124,21.4052
24,125,25.1807
24,127,17.5616
24,128,23.4415
24,130,7.9325
24,131,6.5576
24,132,27.9916
24,133,4.9573
24,134,19.7942
24,137,13.8635
24,138,1.1958
25,29,9.7031
25,34,20.7949
25,40,25.9012
25,42,7.8695
25,43,22.1055
25,44,1.4007
25,50,6.4567
25,51,12.0726
